2017-06-16 17:38:46,312 [Worker-182] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 17:38:46,314 [Worker-182] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 17:38:46,317 [Worker-182] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 17:38:46,319 [Worker-182] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 17:38:59,904 [Worker-183] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Hyd_UHG_12thJune2017\MavenProject_UHG
2017-06-16 17:38:59,904 [Worker-183] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2017-06-16 17:39:24,199 [Worker-185] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 17:39:24,200 [Worker-185] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 17:39:24,203 [Worker-185] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 17:39:24,205 [Worker-185] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 17:40:30,806 [Worker-182] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Hyd_UHG_12thJune2017\MavenProject_UHG
2017-06-16 17:40:30,806 [Worker-182] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2017-06-16 17:40:34,173 [Worker-180] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 17:40:34,175 [Worker-180] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 17:40:34,181 [Worker-180] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 17:40:34,183 [Worker-180] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 17:40:47,739 [Worker-182] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Hyd_UHG_12thJune2017\MavenProject_UHG
2017-06-16 17:40:47,740 [Worker-182] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B test
2017-06-16 17:41:00,172 [Worker-165] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 17:41:00,173 [Worker-165] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-16 17:41:00,176 [Worker-165] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-16 17:41:00,178 [Worker-165] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
